종목명,종목코드,현재가,거래량,거래대금,PER,PBR,EPS,BPS,배당률
나우코스,257990,,,,,,,,
나이벡,138610,14890.0,14066.0,209442740.0,,,,,
나이스디앤비,130580,5480.0,11324.0,62055520.0,,,,,
나이스정보통신,036800,29900.0,22836.0,682796400.0,,,,,
NICE평가정보,030190,13940.0,63392.0,883684480.0,,,,,
나인테크,267320,1960.0,275916.0,540795360.0,,,,,
남광토건,001260,7870.0,100764.0,793012680.0,,,,,
남선알미우,008355,6680.0,249.0,1663320.0,,,,,
남선알미늄,008350,1109.0,1440003.0,1596963327.0,,,,,
남성,004270,7750.0,8972.0,69533000.0,,,,,
남양유업우,003925,31050.0,1813.0,56293650.0,,,,,
남양유업,003920,42350.0,5622.0,238091700.0,,,,,
남해화학,025860,5900.0,315796.0,1863196400.0,,,,,
남화산업,111710,3460.0,183299.0,634214540.0,,,,,
남화토건,091590,5950.0,655021.0,3897374950.0,,,,,
내츄럴엔도텍,168330,1794.0,31600.0,56690400.0,,,,,
네오리진,094860,1429.0,57249.0,81808821.0,,,,,
네오셈,253590,9760.0,211972.0,2068846720.0,,,,,
네오오토,212560,11980.0,100522.0,1204253560.0,,,,,
네오위즈,095660,17730.0,35368.0,627074640.0,,,,,
네오위즈홀딩스,042420,22650.0,6102.0,138210300.0,,,,,
네오이뮨텍,950220,1364.0,87096.0,118798944.0,,,,,
네오크레마,311390,2460.0,5956.0,14651760.0,,,,,
네오티스,085910,16130.0,93870.0,1514123100.0,,,,,
네오팜,092730,19150.0,19552.0,374420800.0,,,,,
네오펙트,290660,1360.0,241556.0,328516160.0,,,,,
네온테크,306620,1742.0,231233.0,402807886.0,,,,,
네이블,153460,6390.0,6663.0,42576570.0,,,,,
네이처셀,007390,25000.0,330362.0,8259050000.0,,,,,
네패스,033640,19730.0,165526.0,3265827980.0,,,,,
네패스아크,330860,35800.0,261260.0,9353108000.0,,,,,
넥사다이내믹스,351320,999.0,8231.0,8222769.0,,,,,
넥센우,005725,4380.0,38.0,166440.0,,,,,
넥센,005720,5950.0,16379.0,97455050.0,,,,,
넥센타이어1우B,002355,3955.0,2506.0,9911230.0,,,,,
